ID,Timestamp,Tweet URL,Group,Collector,Category,Topic,Keywords,Account handle,Account name,Account bio,Account type,Joined,Following,Followers,Location,Tweet,Tweet Translated,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets,Quote Tweets,Views,Rating,Reasoning,Remarks,Reviewer,Review
09-1,28/03/23 23:24:30,https://twitter.com/Lovelife2331/status/1494172791133782017,09,"Garais, Zandrew",RBRD,Leni's incompetence/corruptness as a VP,leni wala alam,@Lovelife2331,Pink Martini,Anyone but Leni/Manny,Anonymous,10/21,102,31,"Manila City, National Capital",Wala alam si leni sa foreign policy. Di nya nga alam presidente ang author ng foreign policy,,"Text, Reply",17/02/22 12:52,,Rational,0,0,0,,,,https://www.rappler.com/nation/elections/robredo-lacson-emerge-foreign-policy-ready-cnn-philippines-presidential-debate-2022/,,,
09-2,28/03/23 23:55:41,https://twitter.com/Raisa97868646/status/1519896390213967872,09,"Garais, Zandrew",RBRD,Leni's incompetence/corruptness as a VP,leni di marunong,@Raisa97868646,Raisa,🌺𝓲𝓱𝓪𝓽𝓮𝔂𝓸𝓾𝓼𝓽𝓻𝓪𝓷𝓰𝓮𝓻🌺,Anonymous,,,,,Ha takot si leni di marunong mag english....ok lang kayo?diosko naman aminin niyo na 1700islands,,"Text, Reply",29/04/22 12:28,,Rational,1,1,2,,,,Robredo is fully capable of speaking in English as seen in this speech.https://www.youtube.com/shorts/MajNNuNY01I,No Location.,,
09-3,30/03/23 22:01:23,https://twitter.com/ItsJamMagno/status/1602713632160505856,09,"Ko, Daryll",RBRD,Leni's incompetence/corruptness as a VP,leni walang ambag,@itsjammagno,Jam Magno,"Ibahin niyo ako, palaban to.
Queen of Facts. Empress of Satire. 
Prophetess of the Night.
Kakampangets' greatest Nightmare. 
#Uniteam #WinningTeam",Identified ,08/15,0,76069,Butuan City,"Jusko si Leni walang ambag sa Maritime Industry. 6 years as VP pero never siyang may ginawa para sa industriya. Kung may tama man si Leni, sure akong sa utak yung tama niya.",,Text,14/12/22 01:14,,"Rational, Emotional",612,51,94,,,,"Stranded seafarers sa 481 Mariners Safe Dormitory sa Malate, Manila Cityhttps://www.facebook.com/283945495056459/photos/a.3005129149604733/3005126676271647/",,,
09-4,30/03/23 22:01:23,https://twitter.com/ninabeIlatrix1/status/1591489910338621441,09,"Ko, Daryll",RBRD,Leni's incompetence/corruptness as a VP,leni walang ambag,@ninabeilatrix1,ninabeIlatrix,"The only verdict is vengeance; a vendetta, held as a votive not in vain for the value and veracity of such shall one day vindicate the vigilant and the virtuous",Anonymous ,02/12,1358,2824,"Quarante, France","@setsu0196 @indaysara Inggit lang mga yun, walang ambag kasi si Leni sa mga Moro 😝 chaka pa",,"Text, Reply",13/11/22 01:55,,"Rational, Emotional ",2,3,0,,,,https://www.philstar.com/nation/2018/10/26/1863390/youth-groups-receive-cash-peace-building-programs-mindanao,,,
09-5,30/03/23 22:01:23,https://twitter.com/Michael550265/status/1588775122135310336,09,"Ko, Daryll",RBRD,Leni's incompetence/corruptness as a VP,leni walang ambag,@michael550265,Michael,This is the way,Anonymous ,05/21,101,253,,"@BosyoJ Wala na kasing ibang topic na alam si Leni  Walang alam sa Phil law, economics, local governance.  Sayang ang hype description kay Leni na may ambag daw si sa drug war, pandemic response.  Wala naman subject sa Harvard na best in photo ops",,"Text, Reply",05/11/22 14:08,,Rational ,1,0,0,,,,"Leni's educational background.

https://ph.rappler.com/elections/2022/candidates/maria-leonor-robredo",No Location.,,
09-6,30/03/23 22:01:23,https://twitter.com/ulbertalanodle/status/1603686810663587840,09,"Ko, Daryll",RBRD,Leni's incompetence/corruptness as a VP,leni walang ambag,@ulbertalanodle,Demiurge,libertarian–conservative | wokeism = fascism | anti-kakampinks,Anonymous ,11/22,252,137,Mount Megiddo,"@VancouverEye Parang Vovo, matagal ng walang galaw ang Unilever. Ngayon lang sila magi-invest ng ganyan kalaki kasi nakikita nila potential sa Administrasyong Marcos. Nung panahon ni PNoy wala lang kasi tatak Palpak ang mga Dilaw. How about Leni magkano ambag niya sa ekonomiya? Tae tae lang.",,"Text, Reply",16/12/22 17:41,,"Rational, Emotional ",1,0,0,,,,"""VP turns over abaca livelihood package to Lanao farmers""

https://www.pna.gov.ph/articles/1027761",,,
09-7,30/03/23 22:01:23,https://twitter.com/Edelwei8/status/1601096887913906180,09,"Ko, Daryll",RBRD,Leni's incompetence/corruptness as a VP,leni walang ambag,@edelwei8,Edelweiß,,Anonymous ,10/17,686,383,,@BosyoJ Engot Buhay nalang yan ngayon Kasi Flops Ang NGA ni lutang. Walang Supporta sa mga Oligarchs.  Sinong Susupporta sa Isang Kagaya ni leni Na Puro Paninira sa Sariling Bansa ang Ambag nya. Sa pinag gagawa nya ngayon sa pagkakalat nya sa US akala naka 10 Points sya mga Pinoys.,,"Text, Image, Reply",09/12/22 14:10,,"Rational, Emotional ",0,0,0,,,,https://newsinfo.inquirer.net/1605274/leni-robredos-vp-tenure-small-funds-big-objectives,No Location and Account bio.,,
09-8,30/03/23 22:01:23,https://twitter.com/jkpunongnarra/status/1593094573009825792,09,"Ko, Daryll",RBRD,Leni's incompetence/corruptness as a VP,leni walang ambag,@jkpunongnarra,JK PunongNarra,The best is yet to come!❤️💚,Anonymous ,06/22,223,83,National Capital Region,"Ayan na. Nasimulan na!😊❤️💚 Aminin niyo nalang mga kakampwets, na sa kabila ng inflation na rereklamo niyo WALANG AMBAG SI LENI SA SOLUSYON. WALANG NAGAWA AT MAGAWA SI LENI dahil ang utak niya ay UTAK niyo rin. Saan? Meron ba? WALAAAA!😂😂😂",,"Text, Image",17/11/22 12:11,,"Rational, Emotional ",6,0,0,,,,"Leni has done things to combat inflation.

https://cpl.hks.harvard.edu/news/lessons-philippines-leni-robredo",,,
09-9,30/03/23 22:01:23,https://twitter.com/loveOfCountry7/status/1581961120742404096,09,"Ko, Daryll",RBRD,Leni's incompetence/corruptness as a VP,leni walang ambag,@loveofcountry7,loveOfCountry,Friendly to Legit,Anonymous ,04/20,82,55,,"@aikonriche @AlfredoGenom BWAHAHA HAHAHA HAHAHAHA HAHAHA sa parallel universe nyo na gobyerno. Never Heard naman sa realidad.  Kumbaga WALANG EPEK kasi PEKE naman, Wala ngang ambag Leni mo! Trust and Approval Rating Bagsak. Natural Filipino Citizen ang may K na magbigay ng award hindi yung iilan lang.",,"Text, Reply",17/10/22 18:51,,"Rational, Emotional ",0,1,0,,,,"Leni has made a lot of contributions to our country.

http://www.cnnphilippines.com/news/2022/6/19/Leni-Robredo-vice-president-accomplishments.html",No Location.,,
09-10,30/03/23 22:01:23,https://twitter.com/sagar_r0/status/1581147313535582208,09,"Ko, Daryll",RBRD,Leni's incompetence/corruptness as a VP,leni walang ambag,@sagar_r0,ツ,,Anonymous ,06/12,360,598,,Huwag ibase ang respeto sa credentials ng tao! kahit sandamakmak pa ang Award na natanggap mo kung sinungaling ka at sinisiraan mo ang sariling bansa dahil sa pagkatalo mo sa election.  Tandaan mo leni Mananatili kang Talunan na Walang ambag sa lipunan.,,Text,15/10/22 12:57,,Rational ,0,0,0,,,,"Leni has made a lot of contributions to our country.

http://www.cnnphilippines.com/news/2022/6/19/Leni-Robredo-vice-president-accomplishments.html",No Location and Account bio.,,
